Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	Definition
Q#10 - >gb|TRY75264.1|[hypothetical protein TCAL_08307 [Tigriopus californicus]]	superfamily	223551	165	554	4.8483e-10	61.4867	cl43152	KefB superfamily	 - 	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#10 - >gb|TRY75264.1|[hypothetical protein TCAL_08307 [Tigriopus californicus]]	superfamily	235410	200	482	5.89915e-08	55.2069	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#10 - >gb|TRY75264.1|[hypothetical protein TCAL_08307 [Tigriopus californicus]]	superfamily	225802	201	482	2.05206e-05	47.3976	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#11 - >emb|CAG5095999.1|[Similar to Slc9b2: Sodium/hydrogen exchanger 9B2 (Mus musculus) [Cotesia congregata]]	superfamily	445285	182	571	8.94698e-19	88.466	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#11 - >emb|CAG5095999.1|[Similar to Slc9b2: Sodium/hydrogen exchanger 9B2 (Mus musculus) [Cotesia congregata]]	superfamily	223104	179	570	7.42027e-16	80.0327	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#11 - >emb|CAG5095999.1|[Similar to Slc9b2: Sodium/hydrogen exchanger 9B2 (Mus musculus) [Cotesia congregata]]	superfamily	223551	178	587	1.3584e-12	69.5759	cl43152	KefB superfamily	 - 	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#11 - >emb|CAG5095999.1|[Similar to Slc9b2: Sodium/hydrogen exchanger 9B2 (Mus musculus) [Cotesia congregata]]	superfamily	428334	150	262	0.000178755	43.6867	cl44534	AbrB superfamily	NC	 - 	Transition state regulatory protein AbrB; Bacillus subtilis respond to a multitude of environmental stimuli by using transcription factors called transition state regulators (TSRs). They play an essential role in cell survival by regulating spore formation, competence, and biofilm development. AbrB is one of the most known TSRs, acting as a pleotropic regulator for over 60 different genes where it directly binds to their promoter or regulatory regions. Many other genes are indirectly controlled by AbrB since it is a regulator of other regulatory proteins, including ScoC, Abh, SinR and SigH. Hence, AbrB is considered a global regulatory protein controlling processes such as Bacillus subtilis growth and cell division as well as production of extracellular degradative enzymes, nitrogen utilization and amino acid metabolism, motility, synthesis of antibiotics and their resistant determinants, development of competence, transport systems, oxidative stress response, phosphate metabolism, cell surface components and sporulation. AbrB is a tetramer consisting of identical 94 residue monomers. Its DNA-binding function resides solely in the N-terminal domain (AbrBN) of 53 residues. Although it does not recognize a well-defined DNA base-pairing sequence, instead, it appears to target a very weak pseudo consensus nucleotide sequence, TGGNA-5bp-TGGNA, which allows it to be rather promiscuous in binding. The N-terminal domains of very similar sequences are present in two more Bacillus subtilis proteins, Abh and SpoVT. Mutagenesis studies suggest that the role of the C-terminal domain is in forming multimers.
Q#11 - >emb|CAG5095999.1|[Similar to Slc9b2: Sodium/hydrogen exchanger 9B2 (Mus musculus) [Cotesia congregata]]	superfamily	225802	202	518	0.00124737	41.6196	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#11 - >emb|CAG5095999.1|[Similar to Slc9b2: Sodium/hydrogen exchanger 9B2 (Mus musculus) [Cotesia congregata]]	superfamily	235410	176	297	0.00367798	40.1842	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#12 - >gb|KAG8042441.1|[hypothetical protein G9C98_005075 [Cotesia typhae]]	superfamily	445285	177	403	1.05828e-08	56.4944	cl01133	Na_H_Exchanger superfamily	C	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#12 - >gb|KAG8042441.1|[hypothetical protein G9C98_005075 [Cotesia typhae]]	superfamily	223104	174	402	3.66678e-08	54.9947	cl42993	NhaP superfamily	C	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#12 - >gb|KAG8042441.1|[hypothetical protein G9C98_005075 [Cotesia typhae]]	superfamily	223551	173	406	3.70065e-08	54.9383	cl43152	KefB superfamily	C	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#12 - >gb|KAG8042441.1|[hypothetical protein G9C98_005075 [Cotesia typhae]]	superfamily	428334	145	257	0.000289187	42.5311	cl44534	AbrB superfamily	NC	 - 	Transition state regulatory protein AbrB; Bacillus subtilis respond to a multitude of environmental stimuli by using transcription factors called transition state regulators (TSRs). They play an essential role in cell survival by regulating spore formation, competence, and biofilm development. AbrB is one of the most known TSRs, acting as a pleotropic regulator for over 60 different genes where it directly binds to their promoter or regulatory regions. Many other genes are indirectly controlled by AbrB since it is a regulator of other regulatory proteins, including ScoC, Abh, SinR and SigH. Hence, AbrB is considered a global regulatory protein controlling processes such as Bacillus subtilis growth and cell division as well as production of extracellular degradative enzymes, nitrogen utilization and amino acid metabolism, motility, synthesis of antibiotics and their resistant determinants, development of competence, transport systems, oxidative stress response, phosphate metabolism, cell surface components and sporulation. AbrB is a tetramer consisting of identical 94 residue monomers. Its DNA-binding function resides solely in the N-terminal domain (AbrBN) of 53 residues. Although it does not recognize a well-defined DNA base-pairing sequence, instead, it appears to target a very weak pseudo consensus nucleotide sequence, TGGNA-5bp-TGGNA, which allows it to be rather promiscuous in binding. The N-terminal domains of very similar sequences are present in two more Bacillus subtilis proteins, Abh and SpoVT. Mutagenesis studies suggest that the role of the C-terminal domain is in forming multimers.
Q#12 - >gb|KAG8042441.1|[hypothetical protein G9C98_005075 [Cotesia typhae]]	superfamily	235410	171	292	0.00484038	39.0286	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#13 - >emb|CAG5097411.1|[Similar to SLC9B1: Sodium/hydrogen exchanger 9B1 (Homo sapiens), partial [Cotesia congregata]]	superfamily	445285	123	502	2.39626e-06	49.5608	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#13 - >emb|CAG5097411.1|[Similar to SLC9B1: Sodium/hydrogen exchanger 9B1 (Homo sapiens), partial [Cotesia congregata]]	superfamily	223104	97	529	0.00343071	39.9719	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#14 - >emb|CAH2066547.1|[unnamed protein product, partial [Iphiclides podalirius]]	superfamily	445285	342	726	6.3596e-32	128.142	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#14 - >emb|CAH2066547.1|[unnamed protein product, partial [Iphiclides podalirius]]	superfamily	223104	338	738	4.59136e-29	120.864	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
