"","Query","Hit type","PSSM-ID","From","To","E-Value","Bitscore","Accession","Short name","Incomplete","Superfamily","Definition"
"18","Q#11 - >emb|CAG5095999.1|[Similar to Slc9b2: Sodium/hydrogen exchanger 9B2 (Mus musculus) [Cotesia congregata]]","superfamily",223104,179,570,7.42027e-16,80.0327,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"19","Q#12 - >gb|KAG8042441.1|[hypothetical protein G9C98_005075 [Cotesia typhae]]","superfamily",223104,174,402,3.66678e-08,54.9947,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"20","Q#14 - >emb|CAH2066547.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,338,738,4.59136e-29,120.864,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"21","Q#14 - >emb|CAH2066547.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",225802,335,581,1.16389e-05,48.9384,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"22","Q#15 - >emb|CAH2066549.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,240,640,1.44976e-26,113.16,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"23","Q#15 - >emb|CAH2066549.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",225802,240,483,3.32407e-05,47.0124,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"24","Q#16 - >emb|CAH2066551.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,164,564,1.64324e-24,106.611,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"25","Q#16 - >emb|CAH2066551.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",225802,164,407,6.79686e-05,45.8568,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"26","Q#17 - >emb|CAH2076751.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,79,492,8.84098e-22,97.7519,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"27","Q#17 - >emb|CAH2076751.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",225802,78,423,3.44024e-07,52.7903,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"28","Q#18 - >emb|CAH2076753.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,87,500,1.03631e-21,97.3667,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"29","Q#18 - >emb|CAH2076753.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",225802,86,431,3.438e-07,52.7903,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"30","Q#20 - >emb|CAH2066543.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,83,375,7.03337e-06,49.6019,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"31","Q#21 - >emb|CAH2066543.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,83,375,7.03337e-06,49.6019,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"32","Q#22 - >emb|CAH2066541.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,83,375,1.02299e-05,49.2167,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"33","Q#23 - >emb|CAH2066541.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,83,375,1.02299e-05,49.2167,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"34","Q#24 - >gb|KAG7201324.1|[hypothetical protein KM043_004095 [Ampulex compressa]]","superfamily",223104,180,563,4.6673e-27,113.93,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"35","Q#25 - >gb|KAG7212671.1|[hypothetical protein KM043_012951 [Ampulex compressa]]","superfamily",223104,113,534,5.53712e-11,64.6247,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"36","Q#26 - >emb|CAH0726637.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",223104,165,575,6.93846e-28,116.627,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"37","Q#26 - >emb|CAH0726637.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",225802,165,554,4.28365e-12,68.9687,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"38","Q#27 - >emb|CAH0714536.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",223104,90,502,6.39458e-23,101.219,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"39","Q#27 - >emb|CAH0714536.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",225802,101,350,0.000384887,43.1604,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"40","Q#28 - >emb|CAH0714537.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",223104,82,494,5.04923e-23,101.219,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"41","Q#28 - >emb|CAH0714537.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",225802,93,342,0.000370088,43.1604,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"42","Q#31 - >emb|CAH0726631.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",223104,142,507,3.15478e-09,58.8467,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"43","Q#31 - >emb|CAH0726631.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",225802,148,442,1.10151e-05,48.168,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"44","Q#32 - KAI2808467.1[Sodium/hydrogen exchanger 9B2 [Blomia tropicalis]]","superfamily",223104,39,457,2.35559e-13,71.5583,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"45","Q#33 - >gb|EZA53303.1|[Sodium/hydrogen exchanger-like domain-containing protein [Ooceraea biroi]]","superfamily",223104,109,512,6.66789e-09,58.0763,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"46","Q#34 - KAA0203922.1[Na+/H+ antiporter, 1-like, partial [Hyalella azteca]]","superfamily",223104,43,337,1.08817e-13,71.5583,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"47","Q#34 - KAA0203922.1[Na+/H+ antiporter, 1-like, partial [Hyalella azteca]]","superfamily",225802,43,251,0.00054364,41.6196,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"48","Q#35 - KAA0201437.1[Na+/H+ antiporter, 3-like [Hyalella azteca]]","superfamily",223104,40,424,3.99736e-14,73.8695,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"49","Q#35 - KAA0201437.1[Na+/H+ antiporter, 3-like [Hyalella azteca]]","superfamily",225802,47,372,0.000547637,42.39,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"50","Q#36 - KAA0184655.1[Na+/H+ antiporter (NHA)-like [Hyalella azteca]]","superfamily",223104,28,231,3.73233e-08,53.0687,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"51","Q#37 - KAA0184656.1[Na+/H+ antiporter (NHA)-like [Hyalella azteca]]","superfamily",223104,185,348,2.73507e-09,58.4615,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"52","Q#37 - KAA0184656.1[Na+/H+ antiporter (NHA)-like [Hyalella azteca]]","superfamily",225802,192,305,6.58409e-05,44.7012,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"53","Q#38 - >gb|KAF6215493.1|[hypothetical protein GE061_010247 [Apolygus lucorum]]","superfamily",223104,321,707,1.21991e-24,107.382,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"54","Q#39 - >gb|KAF6214444.1|[hypothetical protein GE061_009187 [Apolygus lucorum]]","superfamily",223104,103,461,1.21203e-22,100.063,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"55","Q#39 - >gb|KAF6214444.1|[hypothetical protein GE061_009187 [Apolygus lucorum]]","superfamily",225802,106,449,3.99909e-05,46.242,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"56","Q#40 - >gb|KAF6215470.1|[hypothetical protein GE061_010224 [Apolygus lucorum]]","superfamily",223104,229,639,4.16228e-21,96.5963,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"57","Q#42 - >gb|KAF6215170.1|[hypothetical protein GE061_009921 [Apolygus lucorum]]","superfamily",223104,100,507,7.82096e-12,66.9359,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"58","Q#59 - >gb|KAG5673013.1|[hypothetical protein PVAND_003091 [Polypedilum vanderplanki]]","superfamily",223104,115,512,1.71942e-24,105.841,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"59","Q#59 - >gb|KAG5673013.1|[hypothetical protein PVAND_003091 [Polypedilum vanderplanki]]","superfamily",225802,118,355,0.000112872,44.7012,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"60","Q#60 - >gb|KAG5673012.1|[hypothetical protein PVAND_003091 [Polypedilum vanderplanki]]","superfamily",223104,109,506,4.56997e-24,104.3,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"61","Q#60 - >gb|KAG5673012.1|[hypothetical protein PVAND_003091 [Polypedilum vanderplanki]]","superfamily",225802,112,349,0.00013308,44.7012,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"62","Q#61 - >gb|KAG5676603.1|[hypothetical protein PVAND_006426 [Polypedilum vanderplanki]]","superfamily",223104,216,612,3.50639e-30,123.56,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"63","Q#61 - >gb|KAG5676603.1|[hypothetical protein PVAND_006426 [Polypedilum vanderplanki]]","superfamily",225802,272,552,0.000669866,42.7752,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"64","Q#62 - >gb|KAG5676604.1|[hypothetical protein PVAND_006426 [Polypedilum vanderplanki]]","superfamily",223104,217,613,4.08954e-30,123.56,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"65","Q#62 - >gb|KAG5676604.1|[hypothetical protein PVAND_006426 [Polypedilum vanderplanki]]","superfamily",225802,273,553,0.000725094,42.7752,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"66","Q#63 - >gb|KAI8130912.1|[Sodium/hydrogen exchanger 9B2 [Lucilia cuprina]]","superfamily",223104,304,722,4.90701e-21,96.5963,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"67","Q#63 - >gb|KAI8130912.1|[Sodium/hydrogen exchanger 9B2 [Lucilia cuprina]]","superfamily",225802,288,544,1.24912e-08,58.1831,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"68","Q#64 - >gb|KAI8116404.1|[Sodium/hydrogen exchanger 9B2 [Lucilia cuprina]]","superfamily",223104,44,436,4.58062e-24,104.3,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"69","Q#64 - >gb|KAI8116404.1|[Sodium/hydrogen exchanger 9B2 [Lucilia cuprina]]","superfamily",225802,44,295,2.32393e-06,50.094,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"70","Q#65 - >emb|CAH1388393.1|[unnamed protein product [Nezara viridula]]","superfamily",223104,114,508,2.74341e-25,108.537,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"71","Q#66 - >emb|CAH1388386.1|[unnamed protein product [Nezara viridula]]","superfamily",223104,99,493,1.15593e-19,91.2035,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"72","Q#67 - >emb|CAH1388389.1|[unnamed protein product [Nezara viridula]]","superfamily",223104,120,463,4.07438e-18,86.1959,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
